airline,avail_seat_km_per_week,incidents,fatal_accidents,fatalities
Aer Lingus,320906734,2,0,0
Aeroflot*,1197672318,76,14,128
Aerolineas Argentinas,385803648,6,0,0
Aeromexico*,596871813,3,1,64
Air Canada,1865253802,2,0,0
Air France,3004002661,14,4,79
Air India*,869253552,2,1,329
Air New Zealand*,710174817,3,0,0
Alaska Airlines*,965346773,5,0,0
Alitalia,698012498,7,2,50
All Nippon Airways,1841234177,3,1,1
American*,5228357340,21,5,101
Austrian Airlines,358239823,1,0,0
Avianca,396922563,5,3,323
British Airways*,3179760952,4,0,0
Cathay Pacific*,2582459303,0,0,0
China Airlines,813216487,12,6,535
Condor,417982610,2,1,16
COPA,550491507,3,1,47
Delta / Northwest*,6525658894,24,12,407
Egyptair,557699891,8,3,282
El Al,335448023,1,1,4
Ethiopian Airlines,488560643,25,5,167
Finnair,506464950,1,0,0
Garuda Indonesia,613356665,10,3,260
Gulf Air,301379762,1,0,0
Hawaiian Airlines,493877795,0,0,0
Iberia,1173203126,4,1,148
Japan Airlines,1574217531,3,1,520
Kenya Airways,277414794,2,0,0
KLM*,1874561773,7,1,3
Korean Air,1734522605,12,5,425
LAN Airlines,1001965891,3,2,21
Lufthansa*,3426529504,6,1,2
Malaysia Airlines,1039171244,3,1,34
Pakistan International,348563137,8,3,234
Philippine Airlines,413007158,7,4,74
Qantas*,1917428984,1,0,0
Royal Air Maroc,295705339,5,3,51
SAS*,682971852,5,0,0
Saudi Arabian,859673901,7,2,313
Singapore Airlines,2376857805,2,2,6
South African,651502442,2,1,159
Southwest Airlines,3276525770,1,0,0
Sri Lankan / AirLanka,325582976,2,1,14
SWISS*,792601299,2,1,229
TACA,259373346,3,1,3
TAM,1509195646,8,3,98
TAP - Air Portugal,619130754,0,0,0
Thai Airways,1702802250,8,4,308
Turkish Airlines,1946098294,8,3,64
United / Continental*,7139291291,19,8,319
US Airways / America West*,2455687887,16,7,224
Vietnam Airlines,625084918,7,3,171
Virgin Atlantic,1005248585,1,0,0
Xiamen Airlines,430462962,9,1,82
Aer Lingus,320906734,0,0,0
Aeroflot*,1197672318,6,1,88
Aerolineas Argentinas,385803648,1,0,0
Aeromexico*,596871813,5,0,0
Air Canada,1865253802,2,0,0
Air France,3004002661,6,2,337
Air India*,869253552,4,1,158
Air New Zealand*,710174817,5,1,7
Alaska Airlines*,965346773,5,1,88
Alitalia,698012498,4,0,0
All Nippon Airways,1841234177,7,0,0
American*,5228357340,17,3,416
Austrian Airlines,358239823,1,0,0
Avianca,396922563,0,0,0
British Airways*,3179760952,6,0,0
Cathay Pacific*,2582459303,2,0,0
China Airlines,813216487,2,1,225
Condor,417982610,0,0,0
COPA,550491507,0,0,0
Delta / Northwest*,6525658894,24,2,51
Egyptair,557699891,4,1,14
El Al,335448023,1,0,0
Ethiopian Airlines,488560643,5,2,92
Finnair,506464950,0,0,0
Garuda Indonesia,613356665,4,2,22
Gulf Air,301379762,3,1,143
Hawaiian Airlines,493877795,1,0,0
Iberia,1173203126,5,0,0
Japan Airlines,1574217531,0,0,0
Kenya Airways,277414794,2,2,283
KLM*,1874561773,1,0,0
Korean Air,1734522605,1,0,0
LAN Airlines,1001965891,0,0,0
Lufthansa*,3426529504,3,0,0
Malaysia Airlines,1039171244,3,2,537
Pakistan International,348563137,10,2,46
Philippine Airlines,413007158,2,1,1
Qantas*,1917428984,5,0,0
Royal Air Maroc,295705339,3,0,0
SAS*,682971852,6,1,110
Saudi Arabian,859673901,11,0,0
Singapore Airlines,2376857805,2,1,83
South African,651502442,1,0,0
Southwest Airlines,3276525770,8,0,0
Sri Lankan / AirLanka,325582976,4,0,0
SWISS*,792601299,3,0,0
TACA,259373346,1,1,3
TAM,1509195646,7,2,188
TAP - Air Portugal,619130754,0,0,0
Thai Airways,1702802250,2,1,1
Turkish Airlines,1946098294,8,2,84
United / Continental*,7139291291,14,2,109
US Airways / America West*,2455687887,11,2,23
Vietnam Airlines,625084918,1,0,0
Virgin Atlantic,1005248585,0,0,0
Xiamen Airlines,430462962,2,0,0